Date,Open,High,Low,Close,Volume,Market Cap
28-02-2024,57071.09805,63913.13181,56738.4242,62504.78925,83239156760,1.22762E+12
27-02-2024,54519.36207,57537.83966,54484.20014,57085.37231,49756832031,1.12113E+12
26-02-2024,51730.53979,54938.17438,50931.03161,54522.40154,34074411896,1.07074E+12
25-02-2024,51565.21536,51950.02724,51306.17017,51733.2366,15413239245,1.01593E+12
24-02-2024,50736.37007,51684.19452,50585.44589,51571.10311,15174077879,1.01269E+12
23-02-2024,51283.90457,51497.93219,50561.77586,50731.94919,21427078270,9.96166E+11
22-02-2024,51854.64522,52009.61249,50926.29339,51304.97436,25413900611,1.00737E+12
21-02-2024,52273.53578,52368.81674,50671.75866,51839.18053,28624907020,1.01781E+12
20-02-2024,51777.72851,52945.05257,50792.31125,52284.87356,33353758256,1.02652E+12
19-02-2024,52134.81221,52483.32555,51711.81923,51779.14406,21362184346,1.01654E+12
18-02-2024,51661.97011,52356.96316,51233.70883,52122.54546,17595377311,1.02324E+12
17-02-2024,52161.67548,52191.91409,50669.66868,51662.99537,20009091006,1.01418E+12
16-02-2024,51937.72691,52537.97023,51641.36722,52160.20283,28180567298,1.02389E+12
15-02-2024,51836.78358,52820.06693,51371.62748,51938.55632,38564360533,1.0195E+12
14-02-2024,49946.97,50204.94,48449.96,49741.98,53147557899,9.74E+11
13-02-2024,48273.97,50255.98,47745.03,50017.36,38819283556,9.57E+11
12-02-2024,47703.97,48534.61,47608.53,48269.68,30907482421,9.45E+11
11-02-2024,47195.14,48080.16,46879.57,47760.23,45271931173,9.29E+11
10-02-2024,45369.94,48076.09,45252.45,47093.93,47447893767,9.18E+11
09-02-2024,44419.55,45550.04,44353.96,45315.99,38856090038,8.81E+11
08-02-2024,43110.05,44334.08,42795.21,44328.04,27969351851,8.49E+11
07-02-2024,42699.98,43360.57,42578.66,43105.15,29871680562,8.43E+11
06-02-2024,42588.21,43494.23,42286.04,42713.66,27480018871,8.40E+11
05-02-2024,43000.02,43107.98,42228.04,42609.98,21519856715,8.41E+11
04-02-2024,43170,43355.96,42925.88,42970.67,26216205483,8.46E+11
03-02-2024,43066.98,43424.42,42629.75,43189.15,33029151047,8.45E+11
02-02-2024,42604.11,43239.64,41932.02,43069.45,39172604290,8.33E+11
01-02-2024,43006.66,43741.81,42287.98,42611.24,36370523790,8.42E+11
31-01-2024,43188.23,43791.13,42811.98,42915.56,35740198571,8.51E+11
30-01-2024,41947.97,43283.58,41847.34,43269.41,27579132707,8.33E+11
29-01-2024,42121.73,42834.18,41696.43,42018.7,24000943679,8.28E+11
28-01-2024,41822.6,42190.01,41473.93,42112.7,33407592486,8.20E+11
27-01-2024,39947.42,42205.19,39829.36,41866.1,32730718807,8.03E+11
26-01-2024,40069.56,40278.07,39579.43,39929.16,30621419031,7.84E+11
25-01-2024,39920.76,40538.01,39571.64,40145.83,41600345362,7.83E+11
24-01-2024,39588.08,40166.68,38604.83,39873.77,47274722656,7.73E+11
23-01-2024,41598.12,41685.73,39516.98,39516.98,28994460405,7.99E+11
22-01-2024,41697.86,41864.33,41530.03,41549.91,17447807044,8.17E+11
21-01-2024,41633.22,41857.38,41467.97,41668.99,34834893316,8.16E+11
20-01-2024,41339.94,42186.01,40336.03,41627.16,43198521354,8.10E+11
19-01-2024,42760.1,42916.99,40751.17,41296.92,33318931891,8.28E+11
18-01-2024,43156.79,43188,42259.96,42764.71,37442085606,8.38E+11
17-01-2024,42541.13,43525.03,42090.04,43137.2,35463632026,8.42E+11
16-01-2024,41845.43,43369.82,41845.43,42611.43,33296324461,8.35E+11
15-01-2024,42827.96,43054.18,41737.9,41737.9,25499524217,8.38E+11
14-01-2024,42849.69,43250.08,42463.07,42840.02,59406086861,8.40E+11
13-01-2024,46329.06,46416.33,41903.92,42896.05,64852569078,8.84E+11
12-01-2024,46599.08,48853.77,45699.32,46356.96,86303502417,9.13E+11
11-01-2024,46063.42,47629.98,44632.42,46564.21,62513826925,8.98E+11
10-01-2024,47036.79,47842.37,45412.61,46082.08,1.12E+11,9.14E+11
09-01-2024,43945.06,47200.03,43260.51,46900.01,1.22E+11,8.79E+11
08-01-2024,43971.9,44442.83,43625.9,43850.46,96321377330,8.63E+11
07-01-2024,44139.38,44180.03,43454.05,43941.78,1.16E+11,8.58E+11
06-01-2024,44141.48,44229.51,43142.74,44112.11,1.42E+11,8.57E+11
05-01-2024,42803.62,44664.55,42635.44,44188.15,1.64E+11,8.51E+11
04-01-2024,44955.47,45474.95,40931.46,42818.03,99309168813,8.60E+11
03-01-2024,44245.11,45846.21,44245.11,44957.63,46637934136,8.86E+11
02-01-2024,42396.02,44122.03,42227.99,44122.03,25433295177,8.38E+11
01-01-2024,42206.16,42814.17,42000.02,42224.09,25914047573,8.31E+11
31-12-2023,42040.12,42570.01,41539.76,42198.85,34758190469,8.25E+11
30-12-2023,42631.14,43033.78,41683.16,42057.41,35252318490,8.31E+11
29-12-2023,43421.73,43730.03,42321.07,42592.06,35332722355,8.41E+11
28-12-2023,42484.06,43624.64,42154.05,43384.25,33682997794,8.39E+11
27-12-2023,43573.22,43573.22,41723.24,42519.8,32196800353,8.36E+11
