Date,Open,High,Low,Close,Adj Close,Volume
01-01-2018,755.757019,782.530029,742.004028,772.640991,772.640991,2595760128
02-01-2018,772.346008,914.830017,772.346008,884.44397,884.44397,5783349760
03-01-2018,886,974.471008,868.450989,962.719971,962.719971,5093159936
04-01-2018,961.713013,1045.079956,946.085999,980.921997,980.921997,6502859776
05-01-2018,975.75,1075.390015,956.325012,997.719971,997.719971,6683149824
06-01-2018,995.153992,1060.709961,994.622009,1041.680054,1041.680054,4662219776
07-01-2018,1043.01001,1153.170044,1043.01001,1153.170044,1153.170044,5569880064
08-01-2018,1158.26001,1266.930054,1016.049988,1148.530029,1148.530029,8450970112
09-01-2018,1146,1320.97998,1145.48999,1299.73999,1299.73999,7965459968
10-01-2018,1300.339966,1417.380005,1226.599976,1255.819946,1255.819946,9214950400
11-01-2018,1268.089966,1337.300049,1135.170044,1154.930054,1154.930054,7235899904
12-01-2018,1158.290039,1296.040039,1120.089966,1273.199951,1273.199951,5222300160
13-01-2018,1270.469971,1432.880005,1270.469971,1396.420044,1396.420044,5746760192
14-01-2018,1397.47998,1400.560059,1286.209961,1366.77002,1366.77002,4841630208
15-01-2018,1365.209961,1390.589966,1290.599976,1291.920044,1291.920044,4781100032
16-01-2018,1292.630005,1292.630005,875.544983,1053.689941,1053.689941,8405139968
17-01-2018,1061.339966,1090.22998,780.921997,1014.25,1014.25,8545160192
18-01-2018,1016.440002,1100.310059,967.758972,1036.280029,1036.280029,5938319872
19-01-2018,1028.819946,1093.219971,1003.710022,1039.099976,1039.099976,4084450048
20-01-2018,1044.949951,1167.109985,1044.949951,1155.150024,1155.150024,3975190016
21-01-2018,1155.680054,1155.680054,1021.5,1049.579956,1049.579956,3378089984
22-01-2018,1055.349976,1089.099976,930.741028,1003.26001,1003.26001,3810099968
23-01-2018,1004.169983,1023.22998,920.539978,986.229004,986.229004,3556699904
24-01-2018,987.47699,1062.439941,965.807983,1058.780029,1058.780029,3944039936
25-01-2018,1063.219971,1104.660034,1034.73999,1056.030029,1056.030029,4050190080
26-01-2018,1052.699951,1080.599976,996.783997,1055.170044,1055.170044,3617690112
27-01-2018,1055.75,1121.97998,1042.119995,1107.069946,1107.069946,3002870016
28-01-2018,1111.780029,1257.77002,1111.780029,1246.01001,1246.01001,5372329984
29-01-2018,1246.699951,1256.699951,1169.079956,1182.359985,1182.359985,3715079936
30-01-2018,1184.130005,1184.630005,1058.969971,1071.130005,1071.130005,4107859968
31-01-2018,1071.089966,1128.660034,1034.5,1118.310059,1118.310059,3757560064
01-02-2018,1119.369995,1161.349976,984.81897,1036.790039,1036.790039,5261680128
02-02-2018,1035.77002,1035.77002,757.97998,915.784973,915.784973,6713290240
03-02-2018,919.210999,991.942993,847.690002,964.018982,964.018982,3243480064
04-02-2018,964.666992,969.031982,805.064026,834.682007,834.682007,2997090048
05-02-2018,834.958008,856.645996,644.598999,697.950989,697.950989,4269530112
06-02-2018,707.737,796.439026,574.419006,793.122009,793.122009,6518269952
07-02-2018,790.427979,851.200012,723.432983,757.067993,757.067993,3896179968
08-02-2018,755.843018,845.085999,755.843018,817.807007,817.807007,3708189952
09-02-2018,818.47998,884.004028,788.833984,883.86499,883.86499,2495820032
10-02-2018,882.46698,917.400024,825.577026,860.414978,860.414978,2930530048
11-02-2018,859.288025,859.288025,788.221985,814.659973,814.659973,2486650112
12-02-2018,817.507996,875.937012,817.507996,868.70697,868.70697,2243450112
13-02-2018,869.29303,870.708984,828.836975,845.257996,845.257996,2081170048
14-02-2018,844.278992,926.429016,844.278992,923.560974,923.560974,2818370048
15-02-2018,923.728027,951.947998,911.111023,936.976013,936.976013,2900100096
16-02-2018,934.786011,950.005005,917.848022,944.210022,944.210022,2369449984
17-02-2018,944.747986,976.594971,940.754028,974.11499,974.11499,2525720064
18-02-2018,973.348999,982.932983,915.445007,923.921021,923.921021,2567290112
19-02-2018,921.66803,957.776978,921.554016,943.86499,943.86499,2169019904
20-02-2018,943.567017,965.265015,892.953979,895.370972,895.370972,2545260032
21-02-2018,894.13501,912.375,830.562988,849.971008,849.971008,2531729920
22-02-2018,849.262024,875.926025,802.66803,812.844971,812.844971,2150370048
23-02-2018,811.585022,886.317993,794.791016,864.189026,864.189026,2334820096
