Date,Open,High,Low,Close,Adj Close,Volume
01-01-2018,231.666,236.634003,222.203003,229.033005,229.033005,633142016
02-01-2018,228.990005,263.625,228.990005,255.684006,255.684006,1237949952
03-01-2018,255.695007,260.742004,243.134995,245.367996,245.367996,3215280128
04-01-2018,245.475006,245.475006,227.013,241.369995,241.369995,3481550080
05-01-2018,241.033997,256.14801,237.880005,249.270996,249.270996,1710599936
06-01-2018,249.768005,323.11499,249.414993,296.45401,296.45401,2264740096
07-01-2018,296.053009,305.527008,281.927002,288.450989,288.450989,1055400000
08-01-2018,287.725006,289.069,237.664993,255.763,255.763,1182080000
09-01-2018,254.606003,258.502991,240.184006,247.037003,247.037003,940825024
10-01-2018,248.072998,251.054001,233.858994,250.518005,250.518005,1009910016
11-01-2018,251.522003,255.048004,223.003006,229.365997,229.365997,1079389952
12-01-2018,229.787003,243.591995,224.820999,236.856003,236.856003,691160000
13-01-2018,236.882004,263.195007,236.882004,259.192993,259.192993,961043008
14-01-2018,260.57901,270.85199,234.272003,238.675003,238.675003,886414976
15-01-2018,237.289001,245.003998,232.774002,232.774002,232.774002,601769984
16-01-2018,232.817001,232.817001,152.292999,188.330994,188.330994,1405069952
17-01-2018,190.145004,197.789993,141.007004,186.516006,186.516006,1422489984
18-01-2018,186.949005,207.016006,176.830002,192.837006,192.837006,936784000
19-01-2018,191.192001,202.074997,186.938004,192.964005,192.964005,560284032
20-01-2018,194.378006,214.587997,194.378006,211.018005,211.018005,540785984
21-01-2018,211.235001,211.235001,184.636002,190.421005,190.421005,463516000
22-01-2018,191.789993,195.246002,166.882996,180.007996,180.007996,494091008
23-01-2018,180.279007,186.306,165.725998,177.807007,177.807007,441764992
24-01-2018,178.425003,186.279007,173.718994,179.987,179.987,375948992
25-01-2018,181.563004,185.423004,176.348999,180.272003,180.272003,363137984
26-01-2018,179.819,182.891998,167.084,176.733994,176.733994,375476992
27-01-2018,176.660995,183.154007,174.878998,180.886002,180.886002,291632992
28-01-2018,181.421005,194.679001,181.421005,193.865005,193.865005,363515008
29-01-2018,193.751007,194.386002,179.231995,181.664001,181.664001,303560992
30-01-2018,181.445007,181.518005,163.033997,165.276001,165.276001,433227008
31-01-2018,165.296005,167.067993,157.645004,163.350998,163.350998,363292992
01-02-2018,163.682007,165.813995,131.548004,142.296997,142.296997,539880000
02-02-2018,142.561996,142.561996,105.346001,131.378998,131.378998,815539968
03-02-2018,131.401001,165.554993,121.166,160.25,160.25,687676032
04-02-2018,160.380997,173.796005,139.694,148.024994,148.024994,1006080000
05-02-2018,148.727005,153.524002,118.147003,125.330002,125.330002,844678016
06-02-2018,127.521004,146.113998,106.944,142.990997,142.990997,1148409984
07-02-2018,142.481995,157.897995,131.524002,138.203003,138.203003,817808000
08-02-2018,138.335999,151.080994,138.335999,149.466003,149.466003,869206976
09-02-2018,149.729996,163.979996,142.585999,163.949997,163.949997,722204992
10-02-2018,163.488007,169.328995,149.143997,155.593002,155.593002,576328000
11-02-2018,155.391998,155.731003,142.610992,148.990005,148.990005,495720000
12-02-2018,150.104004,163.348007,150.104004,161.565994,161.565994,535710016
13-02-2018,161.774994,162.373993,153.511002,159.554001,159.554001,483468000
14-02-2018,159.578995,218.231003,159.578995,213.358994,213.358994,2383340032
15-02-2018,212.347,237.876999,211.173996,225.425995,225.425995,2087289984
16-02-2018,225.5,236.087997,212.328995,230.123993,230.123993,1300089984
17-02-2018,229.501999,233.451004,225.602997,229.464996,229.464996,863401024
